,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
39684,4259,LGKA,small_airport,Kastoria National Airport Aristotle,40.446301,21.2822,2167.0,EU,GR,GR-C,Argos Orestiko,yes,LGKA,KSO,,,https://en.wikipedia.org/wiki/Kastoria_National_Airport,Aristotelis Airport
39685,4260,LGKC,small_airport,Kithira Airport,36.2742996216,23.0170001984,1045.0,EU,GR,GR-I,Kithira Island,yes,LGKC,KIT,,,https://en.wikipedia.org/wiki/Kithira_Island_National_Airport,
39686,4261,LGKF,medium_airport,Kefallinia Airport,38.12009811401367,20.5004997253418,59.0,EU,GR,GR-F,Kefallinia Island,yes,LGKF,EFL,,,https://en.wikipedia.org/wiki/Kefalonia_Island_International_Airport,
39687,30014,LGKJ,small_airport,Kastelorizo Airport,36.1417007446,29.576400756799995,489.0,EU,GR,GR-L,Kastelorizo Island,yes,LGKJ,KZS,,,,
39688,4262,LGKL,medium_airport,Kalamata Airport,37.06829833984375,22.02549934387207,26.0,EU,GR,GR-J,Kalamata,yes,LGKL,KLX,,,https://en.wikipedia.org/wiki/Kalamata_International_Airport,
39691,4264,LGKO,medium_airport,Kos Airport,36.79330062866211,27.091699600219727,412.0,EU,GR,GR-L,Kos Island,yes,LGKO,KGS,,,https://en.wikipedia.org/wiki/Kos_Island_International_Airport,
39692,4265,LGKP,medium_airport,Karpathos Airport,35.4213981628418,27.145999908447266,66.0,EU,GR,GR-L,Karpathos Island,yes,LGKP,AOK,,,https://en.wikipedia.org/wiki/Karpathos_Island_National_Airport,
39693,4266,LGKR,medium_airport,Ioannis Kapodistrias International Airport,39.601898193359375,19.911699295043945,6.0,EU,GR,GR-F,Kerkyra Island,yes,LGKR,CFU,,,https://en.wikipedia.org/wiki/Corfu_International_Airport%2C_%26quot%3BIoannis_Kapodistrias%26quot%3B,Corfu
39694,4267,LGKS,small_airport,Kasos Airport,35.4213981628,26.9099998474,35.0,EU,GR,GR-L,Kasos Island,yes,LGKS,KSJ,,,https://en.wikipedia.org/wiki/Kassos_Island_Public_Airport,
39695,4268,LGKV,medium_airport,Kavala Alexander the Great International Airport,40.9133,24.6192,18.0,EU,GR,GR-A,Kavala,yes,LGKV,KVA,,,https://en.wikipedia.org/wiki/Kavala_International_Airport,Megas Alexandros
39696,30004,LGKY,small_airport,Kalymnos Airport,36.9632987976,26.9405994415,771.0,EU,GR,GR-L,Kalymnos Island,yes,LGKY,JKL,,,https://en.wikipedia.org/wiki/Kalymnos_Island_National_Airport,"Kalimnos, Κάλυμνος"
39697,4269,LGKZ,medium_airport,Kozani State Airport Filippos,40.286098,21.840799,2059.0,EU,GR,GR-C,Kozani,yes,LGKZ,KZI,,,https://en.wikipedia.org/wiki/Kozani_National_Airport_%26quot%3BFilippos%26quot%3B,
39698,4270,LGLE,small_airport,Leros Airport,37.184898,26.800301,39.0,EU,GR,GR-L,Leros Island,yes,LGLE,LRS,,,https://en.wikipedia.org/wiki/Leros_Municipal_Airport,
39699,4271,LGLM,small_airport,Limnos Airport,39.917098999,25.236299514799995,14.0,EU,GR,GR-K,Limnos Island,yes,LGLM,LXS,,,https://en.wikipedia.org/wiki/Lemnos_International_Airport,
39700,4272,LGLR,small_airport,Larissa Air Base,39.650253,22.4655,241.0,EU,GR,GR-E,Larissa,no,LGLR,LRA,,,https://en.wikipedia.org/wiki/Larissa_National_Airport,Larissa State Airport Thessaly
39704,4274,LGMK,medium_airport,Mikonos Airport,37.43510055541992,25.348100662231445,405.0,EU,GR,GR-L,Mykonos Island,yes,LGMK,JMK,,,https://en.wikipedia.org/wiki/Mykonos_Island_National_Airport,
39705,30139,LGML,small_airport,Milos Airport,36.696899,24.4769,10.0,EU,GR,GR-L,Milos Island,yes,LGML,MLO,,,https://en.wikipedia.org/wiki/Milos_Island_National_Airport,
39707,4275,LGMT,medium_airport,Mytilene International Airport,39.0567016602,26.5983009338,60.0,EU,GR,GR-K,Mytilene,yes,LGMT,MJT,,,https://en.wikipedia.org/wiki/Mytilene_International_Airport,
39709,30182,LGNX,small_airport,Naxos Apollon Airport,37.0811,25.368099,10.0,EU,GR,GR-L,Naxos,yes,LGNX,JNX,,,,
39711,30243,LGPA,small_airport,Paros National Airport,37.020495,25.113195,131.0,EU,GR,GR-L,Paros,yes,LGPA,PAS,,,https://en.wikipedia.org/wiki/New_Paros_Airport,New Paros Airport
39712,4276,LGPL,small_airport,Astypalaia Airport,36.5798988342,26.3757991791,165.0,EU,GR,GR-L,Astypalaia Island,yes,LGPL,JTY,,,https://en.wikipedia.org/wiki/Astypalaia_Island_National_Airport,
