,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
27100,313314,HAJJ,medium_airport,Wilwal International Airport,9.3325,42.9121,5954.0,AF,ET,ET-SO,Jijiga,yes,HAJJ,JIJ,,,https://en.wikipedia.org/wiki/Jijiga_Airport,Garaad Wiil-Waal
27101,3166,HAJM,medium_airport,Jimma Airport,7.66609001159668,36.81660079956055,5500.0,AF,ET,ET-OR,Jimma,yes,HAJM,JIM,,,https://en.wikipedia.org/wiki/Aba_Segud_Airport,
27102,30612,HAKD,medium_airport,Kebri Dahar Airport,6.732577,44.241339,1800.0,AF,ET,ET-SO,Kebri Dahar,yes,HAKD,ABK,,,https://en.wikipedia.org/wiki/Kabri_Dar_Airport,Kabri Dar
27104,30664,HALA,medium_airport,Hawassa International Airport,7.099869,38.396187,5450.0,AF,ET,ET-XSD,Hawassa,no,HALA,AWA,,,https://en.wikipedia.org/wiki/Awasa_Airport,Awasa
27122,3169,HASO,medium_airport,Asosa Airport,10.018500328063965,34.586299896240234,5100.0,AF,ET,ET-BE,Asosa,yes,HASO,ASO,,,https://en.wikipedia.org/wiki/Asosa_Airport,
27128,3170,HBBA,medium_airport,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501,2582.0,AF,BI,BI-BM,Bujumbura,yes,HBBA,BJM,,,https://en.wikipedia.org/wiki/Bujumbura_International_Airport,
27134,318151,HBT,seaplane_base,Hambantota Seaplane Base,6.124043,81.103,0.0,AS,LK,LK-3,Hambantota,yes,,HBT,,,,
27142,3171,HCMH,medium_airport,Egal International Airport,9.513207,44.082389,4471.0,AF,SO,SO-WO,Hargeisa,yes,HCMH,HGA,,,https://en.wikipedia.org/wiki/Hargeisa_International_Airport,"Madaarka Caalamiga a ee Cigaal, مطار هرجيسا إيغال الدولية‎)"
27143,3172,HCMI,medium_airport,Berbera Airport,10.385035,44.936723,30.0,AF,SO,SO-WO,Berbera,yes,HCMI,BBO,,,https://en.wikipedia.org/wiki/Berbera_Airport,
27145,3173,HCMK,medium_airport,Kismayo Airport,-0.377353,42.459202,49.0,AF,SO,SO-JH,Kismayo,no,HCMK,KMU,,,https://en.wikipedia.org/wiki/Kismayo_Airport,"Kisimayu, كيسمايو المطار"
27146,31899,HCMM,medium_airport,Aden Adde International Airport,2.014440059661865,45.3046989440918,29.0,AF,SO,SO-BN,Mogadishu,yes,HCMM,MGQ,,,https://en.wikipedia.org/wiki/Aden_Adde_International_Airport,HCCM
27155,3174,HDAM,large_airport,Djibouti-Ambouli Airport,11.5473,43.1595,49.0,AF,DJ,DJ-DJ,Djibouti City,yes,HDAM,JIB,,,https://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport,Camp Lemonnier
